IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.142.115,4,4,0.00,121.64,6.97
162.159.152.102,4,4,0.00,121.44,6.74
162.159.134.21,4,4,0.00,118.37,6.69
162.159.143.46,4,4,0.00,119.57,6.02
104.26.4.119,4,4,0.00,126.09,4.58
104.26.6.200,4,4,0.00,128.99,1.92
162.159.141.89,4,4,0.00,126.03,1.19
162.159.135.210,4,4,0.00,123.31,1.06
162.159.130.238,4,4,0.00,121.73,0.83
162.159.133.214,4,4,0.00,116.15,0.00
